,ring_metal,Overall Condition,Gemstone Weights (carats),Ring Price (usd),Ring Gross Weight (grams),Ring Size,Diamond Average Color,Diamond Average Clarity,Diamond Shapes,Gems Shapes,Gem Average Clarity,Gem Type
368,"Sapphire, Diamond, Platinum ", Very Good,[7.41 1.4 ],1625000.0,7.17,6.0, J-K-L, SI,[' Trillion-shaped'],[' Emerald-cut'], Fine,[' Sapphire']
369,"Aquamarine, Diamond, Platinum ", Very Good,[29.3  0.7],1625000.0,20.84,6.0, G-H-I, VS,"[' Trapezoid-cut, Baguette-cut']",[' Emerald-cut'], Good,[' Aquamarine']
370,"Diamond, Platinum ", Excellent,[3.02 1.2 ],1625000.0,6.15,6.0, G-H-I, SI,"[' Pear-shaped, Trilliant-cut']",[],,[]
371,"Light Pink Diamond, Colored Diamond, Gold ", Very Good,[1.11 0.55 2.01],1625000.0,4.1,6.0,, I,"[' Marquise-shaped, Half-moon-shaped, Full-cut']",[],,[]
372,"Sapphire, Diamond, Platinum ", Very Good,[6.8 2. ],1625000.0,7.88,6.0, G-H-I, VS,[' Marquise-cut'],[' Oval-shaped'], Good,[' Sapphire']
373,"Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ", Very Good,[2.01 1.33 2.01],1613250.0,6.6,6.0, G-H-I, VS,[],[],,[]
374,"Diamond, Platinum ", Good,[2.32 0.3  1.  ],1562500.0,10.7,6.0, G-H-I, SI,"[' Baguette', ' Round Brilliant']",[],,[]
375,"Diamond, Gold ", Very Good,[2.47 0.95 0.8 ],1562500.0,10.7,7.0, G-H-I, SI,"[' Full-cut, Pear-shaped', ' Round Brilliant']",[],,[]
376,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[7.   1.25],1562500.0,9.4,8.0, G-H-I, I,[' triangular brilliant'],[' Emerald-cut'],,[' Emerald']
377,"Diamond, Platinum ", Very Good,[3.78 0.35],1562500.0,4.81,11.0, M+, VVS,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
378,"Diamond, Platinum, Gold ", Very Good,[3.  0.7 0.4 4.1],1562500.0,10.8,5.0, J-K-L, SI,"[' Round Brilliant-cut, Full-cut, Tapered Baguette-cut']",[],,[]
379,"Fancy Yellow Diamond, Diamond, White Gold ", Very Good,[2.58 3.3 ],1562500.0,11.6,, G-H-I, VVS,"[' Cut-Cornered Rectangular Modified Brilliant, Radiant']",[],,[]
380,"Alexandrite, Diamond, White Gold ", Very Good,[4.01 0.98],1562500.0,6.74,8.0, G-H-I, SI,[' Full-cut'],[],,[]
381,"Diamond, Gold ", Very Good,[2.06 1.5  3.56],1562500.0,11.42,8.0, G-H-I, SI,"[' Round Brilliant-cut, Radiant-cut']",[],,[]
382,"Diamond, White Gold ", Very Good,[5.95],1562500.0,5.43,7.0, J-K-L, I,[' Round Brilliant-cut'],[],,[]
383,"Diamond, Platinum ", Excellent,[1.51 0.48 1.99],1562500.0,4.8,7.0, D-E-F, VS,"[' Round-Brilliant-cut, Pear-cut']",[],,[]
384,"Diamond, Platinum ", Very Good,[5.  0.4],1553500.0,6.58,6.0, M+, SI,"[' Marquise-cut, Tapered Baguette-cut']",[],,[]
385,"Jadeite Jade, Diamond, Gold ", Good,[23.36  1.15],1553500.0,11.5,5.0, G-H-I, I,[' Marquise-cut'],[' Oval-shaped double cabochon'], Fine,[' Jade']
386,"Star Ruby, Ruby, Diamond, Gold ", Good,[14.35  9.15  5.75],1553500.0,29.0,4.0, G-H-I, VS,[' Full-cut'],[],,[]
387,"Diamond, Gold ", Very Good,[4.5  3.25 7.75],1553500.0,12.15,7.0, J-K-L, I,"[' Pear-cut, Baguette-cut']",[],,[]
388,"Sapphire, Diamond, Gold ", Excellent,[13.69  0.73],1553500.0,16.65,7.0, D-E-F, VS,[' Full-cut'],[' Cushion'], Fine,[' Sapphire']
389,"Diamond, Platinum ", Very Good,[1.51 0.5  0.5 ],1553500.0,6.97,5.0, D-E-F, VS,[' Emerald-cut'],[],,[]
390,"Diamond, Platinum ", Very Good,[5.35 1.45 6.8 ],1553500.0,11.9,5.0, J-K-L, I,"[' Radiant, Full']",[],,[]
391,"Diamond, Platinum ", Very Good,[4.  0.3],1553500.0,5.2,5.0, J-K-L, VS,"[' Round Brilliant-cut, Baguette']",[],,[]
392,"Color Change Sapphire, Diamond, Platinum ", Good,[8.1 0.5],1550000.0,7.3,5.0, G-H-I, SI,[' Single-cut'],"[' Oval', ' Oval']",,"[' Color Change Sapphire', ' Natural Color Change Sapphire']"
393,"Ceylon Pink Sapphire, Diamond, White Gold ", Very Good,[4.1 0.5],1500000.0,4.5,6.0, G-H-I, I,[' Heart'],[' Cushion'],,[]
394,"Burma Ruby, Diamond, White Gold ", Good,[2.35 4.  ],1500000.0,8.5,, G-H-I, VS,[' Full-cut'],[' Cushion'],,[' Ruby']
395,"Ceylon Sapphire, Diamond, Platinum, White Gold ", Good,[22.   3.9],1500000.0,15.6,6.0, G-H-I, VS,[' Full-cut'],[' Oval Mixed Cut'],,"[' Natural Corundum, Yellow Sapphire']"
396,"Emerald, Diamond, Gold ", Very Good,[7.8  1.3  0.75],1500000.0,9.5,6.0, G-H-I, SI,"[' Marquise, Pear']","[' Square', ' Emerald-cut']",,"[' Emerald', ' Natural Beryl, Emerald']"
397,"Gentlemen's Emerald, Diamond, White Gold ", Very Good,[20.25  2.  ],1500000.0,25.7,7.0, G-H-I, I,[' full'],[' Square Emerald-cut'],,[' Natural Beryl']
398,"Gentlemen's Diamond, White Gold ", Good,[4.  2.5 3.1 9.6],1500000.0,41.3,9.0, J-K-L, SI,"[' Full-cut', ' Rectangular Modified Brilliant']",[],,[]
399,"Tanzanite, Diamond, Platinum ", Very Good,[11.87  1.5 ],1500000.0,10.1,7.0, D-E-F, VS,[' Full-cut'],[' Modified Brilliant'],,[' Tanzanite']
400,"Diamond, Platinum ", Very Good,[2.45],1500000.0,17.6,7.0,,,[' Round Brilliant'],[],,[]
401,"Diamond, White Gold ", Very Good,[3.4 0.9],1500000.0,7.3,6.0, G-H-I, I,"[' Oval, full-cut', ' Oval']",[],,[]
402,"Art Deco Emerald, Diamond, Platinum ", Good,[0.7 1.5],1500000.0,3.5,6.0, G-H-I, VS,"[' Marquise-shaped, European-cut']","[' Octagonal, Calibré-cut']",,[' Emerald']
403,"Diamond, Gold ", Very Good,[2.01 5.2 ],1500000.0,9.7,5.0, G-H-I, VS,"[' full-cut', ' Oval']",[],,[]
404,"Colombian Emerald, Diamond, White Gold ", Very Good,[3.37 0.65 0.3 ],1500000.0,7.8,6.0, G-H-I, VS,"[' baguette, full-cut']",[' Oval Brilliant'],,[' Emerald']
405,"Diamond, Ruby, Gold ", Very Good,[2.03 0.85],1500000.0,9.0,6.0, G-H-I, SI,"[' baguette, full-cut', ' Round Brilliant']",[' Cabochon'],,[' Ruby']
406,"Diamond, Gold ", Very Good,[3.58],1500000.0,7.4,5.0,,,[' Round Brilliant'],[],,[]
407,"Emerald, Diamond, White Gold ", Very Good,[6.5 1. ],1500000.0,8.02,6.0, J-K-L, SI,[' Triangle'],[' Emerald-cut'],,[' Natural Beryl']
408,"Fancy Brownish-Yellow Diamond, Diamond, Platinum, White Gold ", Very Good,[5.02 1.25 0.85],1500000.0,14.02,4.0, J-K-L, SI,"[' Full-cut', ' Cut-Cornered Modified Rectangular Brilliant']",[],,[]
409,"Tsavorite Garnet, Diamond, Gold ", Very Good,[2.35 0.3 ],1000.0,9.9,4.0, G-H-I, SI,[' Full-Cut'],[' Square'],,[' Tsavorite Garnet']
410,"Sapphire, Diamond, Platinum ", Excellent,[15.67  0.9 ],2125000.0,10.4,5.0, G-H-I, VS,[' Full-cut'],[],,[]
411,"Diamond, White Gold ", Very Good,[3.38 1.65],2062500.0,7.4,6.0, J-K-L, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
412,"Fancy Light Yellow Diamond, Diamond, Gold ", Very Good,[4.63 1.35],2062500.0,20.7,9.0, G-H-I, SI,"[' tapered baguette, full-cut', ' cut-cornered square mixed-cut']",[],,[]
413,"Diamond, Platinum, White Gold ", Very Good,[3.58 0.3 ],2062500.0,5.1,, M+, VVS,"[' Round Brilliant-cut, Baguette-cut']",[],,[]
414,"Diamond, White Gold ", Very Good,[1.98],2062500.0,2.85,5.0, G-H-I, SI,[' Round Brilliant-cut'],[],,[]
415,"Gentleman's Diamond, Gold ", Very Good,[3.   0.45],2031500.0,8.4,7.0, D-E-F, VS,"[' Cut Cornered Rectangular- Modified Brilliant, European-cut, Full-cut']",[],,[]
416,"Diamond, Gold ", Excellent,[3.7  1.05 1.05 5.8 ],2031500.0,14.8,6.0, M+, VVS,"[' Round brilliant-cut, Full-cut, Baguette-cut']",[],,[]
417,"Diamond, Platinum ", Very Good,[3.73 1.12 4.85],2031500.0,7.2,4.0, J-K-L, VS,"[' Emerald-cut, Trillion-cut']",[],,[]
418,"Diamond, Platinum, White Gold ", Very Good,[5.  0.8 5.8],2031500.0,6.0,, M+, VS,"[' Round Brilliant-cut, Baguette']",[],,[]
419,"Cat's-Eye Chrysoberyl, Diamond, Platinum ",,[],2031500.0,10.0,,,,[' marquise'],[],,[]
420,"Diamond, Gold ", Very Good,[4.53 0.6 ],2000000.0,8.1,6.0, J-K-L, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
421,"Diamond, Platinum ", Very Good,[2.36 0.55],2000000.0,5.2,7.0, G-H-I, VS,"[' tapered baguette', ' Emerald Cut']",[],,[]
422,"Diamond, Platinum ", Very Good,[5.01 3.65 0.2 ],2000000.0,20.4,8.0, G-H-I, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
423,"Colombian Emerald, Diamond, Gold ", Very Good,[6.27 0.8 ],2000000.0,7.9,5.0, G-H-I, SI,[' Triangle-shaped'],[' Square Emerald-cut'],,[' Natural Beryl']
424,"Diamond, Platinum ", Very Good,[5.01 2.15],2000000.0,11.8,, G-H-I, SI,"[' Baguette-cut', ' Emerald-cut']",[],,[]
425,"Gentleman's Diamond, Gold ", Very Good,[6.19 1.5 ],2000000.0,34.8,9.0, G-H-I, VS,"[' full-cut', ' Cut cornered square modified brilliant']",[],,[]
426,"Sapphire, Diamond, Platinum ", Very Good,[6.88 1.56],2000000.0,7.6,5.0, G-H-I, VS,[' Half Moon-shaped'],[' Oval-shaped'],,[' Sapphire']
427,"Diamond, Platinum ", Very Good,[3.31 0.55],2000000.0,4.9,3.0, G-H-I, VS,"[' Baguette-cut', ' Pear']",[],,[]
428,"Fancy Yellow Diamond, Diamond, Gold ", Very Good,[2.91 1.2 ],2000000.0,5.0,6.0, G-H-I, SI,"[' Mine', ' Old mine']",[],,[]
429,"Art Deco Diamond, Emerald, Platinum ", Very Good,[4.   0.4  0.65],2000000.0,5.8,6.0, G-H-I, VS,"[' European-cut, Single-cut']",[' Calibré-cut'],,[' Emerald']
430,"Diamond, Synthetic Stone, 18k Gold ", Good,[],2000000.0,,,,,[],[],,[]
431,"Paraiba Tourmaline, Diamond, Gold ", Very Good,[24.  5.],2000000.0,24.2,7.0, G-H-I, VS,"[' Rose-cut, Pear-shaped Rose-cut']","[' Oval Cabochon', ' Oval Cabochon']",,"[' Tourmaline', ' Tourmaline']"
432,"Burma Sapphire, Diamond, White Gold ", Very Good,[10.57  1.85],2000000.0,10.2,6.0, G-H-I, VS,[' Full-cut'],"[' Oval-shaped', ' Oval']",,"[' Sapphire', ' Corundum']"
433,"Lavender Jadeite Jade, Diamond, Platinum ", Very Good,[18.46  1.5 ],2000000.0,12.26,6.0, G-H-I,,[' Full-cut'],[' Oval-shaped Cabochon'],,[' Jadeite Jade']
434,"Diamond, Platinum ", Very Good,[4.17],2000000.0,5.35,7.0, M+, VS,[' Round Brilliant'],[],,[]
435,"Burma Ruby, Diamond, Platinum, Gold ", Good,[4.35 1.4 ],2000000.0,7.0,6.0, J-K-L, SI,[' Full-cut'],[' Oval-shaped'], Good,[' Ruby']
436,"Diamond, Platinum ", Very Good,[3.74 0.2 ],2000000.0,4.15,6.0, J-K-L, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
437,"Emerald, South Sea Cultured Pearl, Diamond, Platinum, Gold ", Very Good,[11.5 16.   0.7],2000000.0,43.1,5.0, G-H-I, VS,"[' Full-cut, Baguette-cut']",[],,[]
438,"Oscar Heyman Bros. Ruby, Diamond, Gold ", Excellent,[],2000000.0,,6.0, D-E-F, VVS,[' Tapered Baguette-cut'],[' Mixed Oval-cut'], Good,[' Ruby']
439,"Natural Pearl, Diamond, Platinum-Topped Gold ", Very Good,[7.98],2000000.0,3.96,5.0, G-H-I, SI,"[' Single-cut', ' Button']",[],,[]
440,"Jadeite Jade, Diamond, Gold ", Good,[11.    3.25],2000000.0,14.7,, G-H-I, SI,[' Full-cut'],[],,[]
441,"Fancy Intense Yellow Diamond, Diamond, Platinum, Gold ", Excellent,[2.38 0.63 0.65],2000000.0,7.45,7.0, G-H-I, VS,"[' Radiant-cut, Full-cut']",[],,[]
442,"Diamond, White Gold ", Very Good,[2.15 0.25],2000000.0,7.5,7.0, G-H-I, SI,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
443,"Diamond, Platinum ", Good,[4.01 1.05],1937500.0,8.9,5.0, J-K-L, SI,"[' Triangular', ' Square Modified Brilliant']",[],,[]
444,"Diamond, Platinum ", Very Good,[2.02 0.51],1937500.0,8.17,5.0,,,"[' Marquise', ' Marquise', ' Marquise']",[],,[]
445,"Diamond, Platinum ", Very Good,[1.85],1937500.0,5.0,6.0,,,[' Round Brilliant'],[],,[]
446,"Diamond, Platinum, White Gold ", Very Good,[3.54 0.1  0.15],1937500.0,9.5,6.0, J-K-L, SI,"[' European-cut, Full-cut, Single-cut']",[],,[]
447,"Diamond, White Gold ", Very Good,[4.6],1912000.0,3.4,5.0, M+, SI,[' Round-Brilliant'],[],,[]
448,"Jadeite Jade, Diamond, Platinum ", Very Good,[14.26  4.75],1912000.0,19.3,7.0, G-H-I, VVS,[' full-cut'],[' Oval-shaped cabochon'], Fine,[' Jadeite Jade']
449,"Jadeite Jade, Diamond, White Gold ", Very Good,[10.77  1.9   0.7   2.62],1912000.0,13.0,6.0, G-H-I, VS,"[' Full-cut, Tapered Baguette-cut']",[' Oval-shaped cabochon'], Fine,[' Jadeite Jade']
450,"Gentleman's Diamond, White Gold ", Excellent,[3.36],1912000.0,12.74,9.0, G-H-I, SI,[' Brilliant-cut'],[],,[]
451,"Diamond, Platinum ", Very Good,[],1912000.0,12.4,7.0,,,"[' Baguette, Pear']",[],,[]
452,"Art Deco Diamond, Platinum ",,[],1900000.0,6.2,,,,[],[],,[]
453,"Fancy Vivid Yellow Diamond, Diamond, Platinum, White Gold ", Very Good,[1.21 0.58],1875000.0,3.81,5.0, D-E-F, VS,"[' Trapezoid', ' Emerald-cut']",[],,[]
454,"Gentleman's Diamond, Gold ", Good,[4.01 1.   1.7 ],1875000.0,13.8,10.0, J-K-L, SI,"[' Baguette, square brilliant', ' Rectangular Brilliant']",[],,[]
455,"Colombian Emerald, Diamond, White Gold ", Good,[7.28 0.6 ],1875000.0,7.1,, G-H-I, SI,[' Single'],"[' Rectangular Emerald Cut', ' Octagonal']",,"[' Natural Beryl, Emerald', ' Natural Beryl, Emerald']"
456,"Diamond, Platinum ", Good,[3.28 0.4 ],1875000.0,4.9,7.0, G-H-I, VS,"[' Baguette', ' Emerald-Cut']",[],,[]
457,"Diamond, Platinum ", Very Good,[3.02 0.5 ],1875000.0,16.0,6.0, G-H-I, VS,"[' Full-cut', ' Round Brilliant']",[],,[]
458,"Ceylon Sapphire, Diamond, Platinum ", Very Good,[10.83  1.24],1875000.0,9.4,6.0, G-H-I, SI,[' Half moon'],[' Cushion'],,[' Natural Sapphire']
459,"Black Opal, Diamond, Platinum ", Very Good,[9.55 2.5 ],1875000.0,13.8,6.0, G-H-I, SI,"[' Full, Baguette']",[' Oval'],,[' Black opal']
460,"Ceylon Fancy Sapphire, Diamond, Platinum ", Very Good,[10.35  3.25  1.75  1.15],1875000.0,17.1,7.0, G-H-I, VS,"[' Marquise, Pear, Full']",[' Oval'],,[' Natural Corundum']
461,"Ceylon Sapphire, Diamond, White Gold ", Very Good,[15.81  1.35],1875000.0,11.1,7.0, G-H-I, VS,[' Full-cut'],[' Oval'],,[' Natural Corundum']
462,"Gentleman's Cat's-Eye Chrysoberyl, Diamond, Platinum ", Very Good,[15.68  0.65],1875000.0,51.8,10.0, G-H-I, SI,[' triangular brilliant'],"[' cabochon', ' Cabochon']",,"["" Cat's-eye chrysoberyl"", "" Cat's-Eye Chrysoberyl""]"
463,"Diamond, Sapphire, Platinum ", Very Good,[3.42 2.   1.45],1875000.0,7.2,6.0,,,[' Oval Brilliant'],[' Oval'],,[' Sapphire']
464,"Diamond, Platinum ", Very Good,[3.03 0.8 ],1875000.0,9.0,5.0, G-H-I, VS,"[' baguette, tapered baguette', ' Emerald-cut']",[],,[]
465,"Art Deco Emerald, Diamond, Platinum ", Very Good,[0.35],1875000.0,6.4,5.0, G-H-I, VS,"[' Kite, Single-cut']",[' Carved'],,[' Emerald']
466,"Diamond, Gold ", Very Good,[4.03 0.8 ],1875000.0,7.7,7.0, G-H-I, VS,"[' Full-cut', ' Pear Modified Brilliant']",[],,[]
467,"Gentleman's Diamond, Gold ", Very Good,[3.05 1.  ],1875000.0,29.2,11.0, G-H-I, VS,[' full-cut'],[],,[]
468,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[7.3 0.7],1875000.0,6.9,, G-H-I, VS,[' Triangle-cut'],"[' Octagonal Step Cut', ' Square Emerald-cut']",,"[' Natural Beryl', ' Natural Beryl']"
469,"Very Light Pink Diamond, Diamond, Gold ", Very Good,[2.02 2.1 ],1875000.0,15.4,9.0, J-K-L, SI,"[' Full-cut', ' Round Brilliant']",[],,[]
470,"Ceylon Sapphire, Diamond, Platinum ", Very Good,[10.17  0.75],1875000.0,11.1,7.0, G-H-I, VS,[' Full-cut'],[' Round'],,[' Natural Corundum']
471,"Burma Ruby, Diamond, Platinum, Gold ", Very Good,[17.2  1.1],1875000.0,13.52,, G-H-I, VS,"[' Baguette, Tapered-Baguette']",[' Cushion Cabochon'],,[' Natural Corundum']
472,"Fancy Deep Brownish Yellow Diamond, Colored Diamond, White Gold ", Very Good,[6.16 0.3 ],1875000.0,4.03,7.0,, SI,"[' Pear', ' Oval']",[],,[]
473,"Diamond, Platinum ", Very Good,[1.92 0.2  0.65],1875000.0,6.6,7.0, G-H-I, VVS,"[' Round Brilliant-cut, Tapered Baguette-cut, Single-cut', ' Round Brilliant']",[],,[]
474,"Diamond, White Gold ", Very Good,[3.95],1875000.0,4.17,7.0, M+, SI,"[' Round Brilliant-cut', ' Round Brilliant-cut']",[],,[]
475,"Ceylon Sapphire, Diamond, Gold ", Very Good,[25.6  0.8  0.7],1875000.0,17.6,7.0, G-H-I, VS,[' Tapered Baguette-cut'],"[' Cushion Modified Brilliant-cut, Round-cut', ' Cushion Modified Brilliant-cut']",,"[' Sapphire', ' Corundum']"
476,"Paraiba Tourmaline, Diamond, White Gold ", Very Good,[31.68  4.28],1875000.0,21.44,, G-H-I, VS,[' Full-cut'],[],,[]
477,"Ruby, Diamond, Platinum, Gold ", Very Good,[17.15  1.49],1875000.0,10.5,6.0, G-H-I, SI,[' Half-moon'],[' Sugarloaf Cabochon'], Good,[' Ruby']
478,"Colombian Emerald, Diamond, Gold ", Good,[9.9  1.75 2.  ],1875000.0,14.4,7.0, G-H-I, SI,"[' Full-cut, Baguette-cut']",[],,[]
479,"Diamond, Gold ", Very Good,[3.52 2.1 ],1875000.0,10.4,5.0, M+, SI,"[' European-cut, Baguette-cut, Full-cut']",[],,[]
480,"Diamond, Gold ", Very Good,[3.52 2.1 ],1875000.0,10.4,5.0, M+, SI,"[' European-cut, Baguette-cut, Full-cut']",[],,[]
481,"Diamond, Platinum ", Very Good,[3.53 0.3 ],1875000.0,5.86,6.0, J-K-L, VS,"[' Pear-shaped, Tapered Baguette-cut']",[],,[]
482,"Sapphire, Diamond, Platinum ", Very Good,[5.69 0.95],1875000.0,8.92,6.0, J-K-L, SI,[' Half-moon-shaped'],[' Oval'], Fine,[' Sapphire']
483,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[8.24],1875000.0,7.9,7.0, G-H-I, VS,[' European-cut'],[' Square-shaped'], Fine,[' Emerald']
484,"Ruby, Diamond, Platinum ", Very Good,[4.68 2.42],1875000.0,7.6,6.0, G-H-I, SI,[' Full-cut'],[' Oval-shaped'], Fine,[' Ruby']
485,"Diamond, Platinum ", Very Good,[2.56 3.56],1875000.0,6.4,, D-E-F, VVS,"[' Square Modified Brilliant-cut, Triangle-cut']",[],,[]
486,"Emerald, Diamond, White Gold ", Very Good,[],1875000.0,,7.0, G-H-I, VS,[' Marquise-shaped'],[],,[' Emerald']
487,"Sapphire, Diamond, White Gold ", Very Good,[7.75 2.  ],1875000.0,8.9,6.0, G-H-I, SI,[' Full-cut'],[' Square Cushion-cut'], Good,[' Sapphire']
488,"Diamond, Platinum ", Very Good,[2.06],1875000.0,6.3,4.0, D-E-F, VS,[' Square Emerald-cut'],[],,[]
489,"Paraiba Tourmaline, Diamond, White Gold ", Very Good,[31.68  4.28],1875000.0,21.44,, G-H-I, VS,[' Full-cut'],[],,[]
490,"Cartier Emerald, Diamond, Gold ", Very Good,[],1875000.0,,7.0, G-H-I, SI,[' Tapered Baguette-cut'],[' Pear-shaped'], Good,[' Emerald']
491,"Sapphire, Diamond, Gold ", Very Good,[13.  2.],1875000.0,12.48,7.0, G-H-I, VS,[' Full-cut'],[' Cushion-shaped'], Good,[' Sapphire']
492,"Sapphire, Diamond, White Gold ", Excellent,[11.15  2.61],1875000.0,12.43,6.0, G-H-I, VS,[' Full-cut'],[],,[]
493,"Emerald, Diamond, Platinum, Gold ", Very Good,[13.1  5. ],1852250.0,13.7,4.0, G-H-I, VS,"[' Full-cut, Pear-cut']",[' Rectangular-shaped'], Good,[' Emerald']
494,"Diamond, Platinum ", Good,[2.64 0.3 ],1812500.0,5.0,5.0, G-H-I, VS,"[' Tapered Baguette', ' Emerald-cut']",[],,[]
495,"Diamond, Platinum ", Very Good,[3.96],1812500.0,7.44,, J-K-L, VS,"[' Marquise, Baguette', ' Marquise']",[],,[]
496,"Diamond, Platinum ", Very Good,[2.65 1.2 ],1800000.0,10.0,5.0, G-H-I, VS,"[' Full-cut', ' Cut-Cornered Rectangular Modified Brilliant']",[],,[]
497,"Alexandrite, Diamond, White Gold ", Very Good,[12.27  0.85],1800000.0,14.3,, G-H-I, VS,[' Full-cut'],"[' Octagonal Modified Brilliant-cut', ' Octagonal Modified Brilliant-cut']",,"[' Alexandrite', ' Chrysoberyl']"
498,"Diamond, Platinum, Gold ",,[2.26 0.3 ],1800000.0,14.3,6.0, D-E-F, VS,"[' Round Brilliant-cut, Full-cut', ' Round Brilliant']",[],,[]
499,"Diamond, Platinum ", Very Good,[],1792500.0,17.2,7.0,,,[],[],,[]
500,"Art Deco Diamond, Platinum ",,[],1792500.0,6.2,5.0,,,[' Old European cut'],[],,[]
501,"Diamond, White Gold ", Good,[4.01 1.  ],1750000.0,6.9,8.0, J-K-L, VS,"[' Round, Square Brilliant', ' Round Brilliant']",[],,[]
502,"Art Deco Sapphire, Diamond, Platinum ", Very Good,[2.75 4.  ],1750000.0,7.4,7.0, J-K-L, VS,[' European'],[' Oval'],,[' Natural Corundum']
503,"Gentlemen's Diamond, Gold ", Good,[5.08 2.   0.5 ],1750000.0,44.6,8.0, J-K-L, SI,"[' Full-cut, Tapered Baguette', ' Round Brilliant']",[],,[]
504,"Burma Ruby, Diamond, Platinum, White Gold ", Very Good,[1.85 1.6  0.15],1750000.0,6.0,6.0, G-H-I, SI,"[' European, Baguette-cut']",[' Square Cushion'],,[' Natural Corundum']
505,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[1.95 1.1 ],1750000.0,5.3,6.0, G-H-I, VS,[' Triangle'],[],,[' Natural Emerald']
506,"Jadeite Jade, Diamond, Platinum ", Very Good,[2.45],1750000.0,14.1,7.0, G-H-I, VS,[' Baguette-cut'],[' Oval Double Cabochon'],,[' Jadeite Jade']
507,"Colombian Emerald, Diamond, Platinum, Gold ", Very Good,[2.  1.1],1750000.0,5.3,6.0, G-H-I, VS,[' triangle'],[' Octagonal step-cut'],,[' Natural Emerald']
508,"Gentleman's Diamond, Platinum ", Very Good,[5.],1750000.0,33.0,6.0,,,[' Cut-Cornered Rectangular Modified Brilliant'],[],,[]
509,"Diamond, Gold ", Very Good,[2.51],1750000.0,6.4,7.0,,,[' Round'],[],,[]
510,"Diamond, Platinum ", Very Good,[3.01],1750000.0,6.2,5.0, D-E-F, SI,"[' Radiant', ' rectangular modified brilliant-cut']",[],,[]
511,"Diamond, Platinum ", Very Good,[1.5   1.468],1750000.0,8.6,5.0, D-E-F, VVS,"[' Round Brilliant-cut', ' Round Brilliant', ' Round Brilliant', ' Round Brilliant']",[],,[]
512,"Diamond, White Gold ", Very Good,[2.4  0.65],1750000.0,5.57,6.0, G-H-I, VS,"[' Full-cut, Baguette-cut', ' Pear']",[],,[]
513,"Diamond, Platinum ", Very Good,[2.58],1750000.0,4.47,7.0, D-E-F, VS,"[' Emerald-cut, Baguette-cut', ' Emerald-cut']",[],,[]
514,"Diamond, Platinum ", Very Good,[3.7 1. ],1750000.0,10.3,6.0, G-H-I, VS,"[' European-cut, Single-cut']",[],,[]
515,"Diamond, Platinum ", Very Good,[2.04 0.2 ],1750000.0,5.0,4.0, G-H-I, SI,"[' Emerald-cut, Half-Moon', ' Emerald-cut']",[],,[]
516,"Diamond, Platinum ", Very Good,[3.78 0.35],1750000.0,4.81,11.0, M+, VVS,"[' Round Brilliant-cut, Tapered Baguette-cut']",[],,[]
517,"Diamond, White Gold ", Very Good,[3.01],1750000.0,3.3,6.0, J-K-L, VS,[' Round Brilliant-cut'],[],,[]
518,"Diamond, Platinum Eternity Band, Harry Winston",,[6.29],1750000.0,9.5,, D-E-F, VS,[' Round brilliant-cut'],[],,[]
519,"Alexandrite, Diamond, Platinum ", Very Good,[2.41 0.52],1750000.0,8.7,6.0, D-E-F, VVS,[' Tapered Baguette-cut'],[' Emerald-cut'], Fine,[' Alexandrite']
520,"Precision Set Diamond, Platinum ", Excellent,[],1750000.0,,5.0, D-E-F, VVS,[' Round Brilliant-cut'],[],,[]
521,"Diamond, Platinum ", Very Good,[2.25 0.85 0.75],1750000.0,9.2,6.0, J-K-L, VS,"[' Round Brilliant-cut, Full-cut, Baguette-cut']",[],,[]
522,"Sapphire, Diamond, White Gold ", Very Good,[7.64 1.7 ],1750000.0,10.93,6.0, G-H-I, SI,[' Full-cut'],[],,[]
523,"Art Deco Star Sapphire, Diamond, Platinum ", Good,[40.    0.5   0.85],1750000.0,16.9,6.0, G-H-I, SI,"[' Triangle-shaped, Full-cut, Baguette-cut, Tapered Baguette-cut']",[' Cabochon'], Good,[' Star Sapphire']
524,"Diamond, Platinum ", Very Good,[2.53 1.22  nan],1750000.0,15.09,5.0, G-H-I, VS,"[' Marquise-shaped, Baguette-cut, Full-cut']",[],,[]
525,"Diamond, Platinum, White Gold ", Very Good,[4.8 1.4 6.2],1750000.0,10.4,, G-H-I, VS,"[' Marquise-cut, Full-cut']",[],,[]
526,"Diamond, Gold ", Excellent,[3.05 0.75 3.8 ],1750000.0,8.0,6.0, M+, VS,"[' Round-Brilliant-cut, Full-cut']",[],,[]
527,"Ceylon Yellow Sapphire, Diamond, Platinum, Gold ", Very Good,[22.6   1.15  0.6 ],1700000.0,18.3,6.0, G-H-I, SI,"[' pear, full-cut']",[' Oval'],,[' Yellow Sapphire']
528,"Diamond, Gold Wedding ", Very Good,[2.51],1687500.0,58.62,,,,[' Round Brilliant'],[],,[]
