,Condition Report,Description,Sold Price
250,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: SI
Shape(s): Single
Count: 51 - 75

Colored Gems:

Certified Gems:
Gem: 1
Lab: AGL
Certification #: 1106358
Carat: 7.28
Shape: Rectangular Emerald Cut
Origin: Colombia
Treatment: Minor Traditional
Type: Natural Beryl, Emerald

Gem: 2
Lab: GIA
Certification #: 6203365523
Carat: 7.28
Shape: Octagonal
Origin: Colombia
Treatment: F1 Clarity Enhanced
Type: Natural Beryl, Emerald

Metals:
Gold

Overall Condition: Good
Condition Notes: The emerald is accompanied by a GIA report as well.","Colombian Emerald, Diamond, White Gold Ring
The eternity ring features an octagonal step-cut emerald measuring 12.74 x 11.48 x 6.71 mm and weighing 7.28 carats, enhanced by single-cut diamonds weighing a total of approximately 0.60 carat, set in 18k white gold. An AGL report # 1106358, dated January 30, 2020, stating Natural Beryl, Emerald, Colombian origin, Minor Traditional treatment, accompanies the center stone. Gross weight 7.10 grams.
Size: 5 (not sizeable)","SOLD ON OCT 5, 2020 FOR: $18,750.00"
251,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Baguette
Count: 1 - 25

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 6204096839
Carat: 3.28
Color: J
Clarity: VVS1
Shape: Emerald-Cut

Metals:
Platinum

Overall Condition: Good","Diamond, Platinum Ring
The ring features an emerald-cut diamond measuring 9.51 x 8.25 x 5.01 mm and weighing 3.28 carats, enhanced by baguette-cut diamonds weighing a total of approximately 0.40 carat, set in platinum. A GIA report # 6204096839, dated February 26, 2019, stating J color, VVS1 clarity, accompanies the center stone. Gross weight 4.90 grams.
Size: 7 (sizeable)","SOLD ON DEC 8, 2019 FOR: $18,750.00"
252,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Full-cut
Count: 26 - 50

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 10582126
Carat: 3.02
Color: F
Clarity: VS2
Shape: Round Brilliant

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: Bold and unique! Marked 950. *Sizing my disrupt the shank.","Diamond, Platinum Ring
The ring features a radiant-cut diamond measuring 8.78 x 8.32 x 5.43 mm and weighing 3.02 carats, enhanced by full-cut diamonds weighing a total of approximately 0.50 carat, set in platinum. A GIA report # 10582126, dated September 30, 2019, stating F color, VS2 clarity, accompanies the center stone. Gross weight 16.00 grams.
Size: 6-3/4 (sizeable)

Property of a Private Massachusetts Collector","SOLD ON DEC 8, 2019 FOR: $18,750.00"
253,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: SI
Shape(s): Half moon
Count: 1 - 25

Colored Gems:

Certified Gems:
Gem: 1
Lab: GRS
Certification #: 2019-061579
Carat: 10.83
Shape: Cushion
Origin: Sri Lanka
Treatment: Heat - No Residue
Type: Natural Sapphire

Metals:
Gold

Overall Condition: Very Good
Condition Notes: The ring is marked PT950.","Ceylon Sapphire, Diamond, Platinum Ring
The ring centers a cushion-shaped sapphire measuring 13.07 x 11.22 x 8.03 mm and weighing 10.83 carats, enhanced by half-moon-shaped diamonds weighing a total of 1.24 carats, set in platinum. An GRS report # 2019-016579, dated January 17, 2019, stating Natural Sapphire, Pastel Blue Color, Origin Sri Lanka, Enhanced by Heat, No Residue Present, accompanies the center stone. Gross weight 9.40 grams.
Size: 6-1/2 (sizeable)","SOLD ON DEC 8, 2019 FOR: $18,750.00"
254,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: SI
Shape(s): Full, Baguette
Count: 1 - 25

Colored Gems:
Type(s): Black opal
Shape(s): Oval
Count: 1 - 25
Avg Quality: Good

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: Some diamonds fall into the JK color range. There is a very minor scratch on the surface of the opal.","Black Opal, Diamond, Platinum Ring
The ring features an oval-shaped black opal measuring 17.22 x 14.28 x 6.45 mm and weighing approximately 9.55 carats, enhanced by full and baguette-cut diamonds weighing a total of approximately 2.50 carats, set in platinum. Gross weight 13.80 grams.
Size: 6-1/2 (sizeable)","SOLD ON SEP 23, 2019 FOR: $18,750.00"
255,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Marquise, Pear, Full
Count: 26 - 50

Colored Gems:

Certified Gems:
Gem: 1
Lab: AGL
Certification #: 1102069
Carat: 10.35
Shape: Oval
Origin: Ceylon (Sri Lanka)
Treatment: None
Type: Natural Corundum

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: Dazzle a room with this beauty. Per AGL: the gemstone exhibits color shift. As a result the color appearance may vary. Some diamonds fall in the SI clarity range. A horseshoe sizer is located in the interior of the ring. The sapphire has a chip on the pavilion and table as well as some abrasions around the girdle. Exact sapphire weight known.","Ceylon Fancy Sapphire, Diamond, Platinum Ring
The ring features an oval-shaped fancy purple-pink and orangy-pink sapphire measuring 12.98 x 10.12 x 8.70 mm and weighing 10.35 carats, enhanced by marquise-cut diamonds weighing a total of approximately 3.25 carats, pear-shaped diamonds weighing a total of approximately 1.75 carats, and full-cut diamonds weighing a total of approximately 1.15 carats, set in platinum. An AGL report # 1102069, dated July 19, 2019, stating Natural Corundum, Purple-Pink and Orangy-Pink color, Origin Ceylon (Sri Lanka), No Gemological Evidence of Heat, Clarity Enhancement None, accompanies the center stone. Gross weight 17.10 grams.
Size: 7-1/4 (sizeable)","SOLD ON SEP 23, 2019 FOR: $18,750.00"
256,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Full-cut
Count: 1 - 25

Colored Gems:

Certified Gems:
Gem: 1
Lab: GIA
Certification #: 1192296390
Carat: 15.81
Shape: Oval
Origin: Sri Lanka
Treatment: No Indications of Heating
Type: Natural Corundum

Metals:
Gold

Overall Condition: Very Good
Condition Notes: A dreamy Ceylon sapphire. Marked 750, 18K.","Ceylon Sapphire, Diamond, White Gold Ring
The ring features an oval-shaped sapphire measuring 15.08 x 13.30 x 8.84 mm and weighing 15.81 carats, enhanced by full-cut diamonds weighing a total of approximately 1.35 carats, set in 18k white gold. A GIA report # 1192296390, dated May 10, 2018, stating Natural Corundum, Violetish Blue color, Origin Sri Lanka, No Indications of Heating, accompanies the sapphire. Gross weight 11.10 grams.
Size: 7 (sizeable)","SOLD ON DEC 10, 2018 FOR: $18,750.00"
257,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: SI
Shape(s): triangular brilliant
Count: 1 - 25

Colored Gems:
Type(s): Cat's-eye chrysoberyl
Shape(s): cabochon
Count: 1 - 25
Avg Quality: Good

Certified Gems:
Gem: 1
Lab: GIA
Certification #: 1951576
Carat: 15.68
Shape: Cabochon
Type: Cat's-Eye Chrysoberyl

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: A beautiful cat's-eye. Marked PLATINUM 999. Metal has a brushed finish but also scratches commensurate with normal wear.","Gentleman's Cat's-Eye Chrysoberyl, Diamond, Platinum Ring
The ring features a cat's-eye chrysoberyl measuring 12.75 - 13.15 x 9.55 mm and weighing 15.68 carats, enhanced by triangular brilliant-cut diamonds weighing a total of approximately 0.65 carat, set in platinum. A GIA report # 1951576, dated November 13, 1991, stating Cat's-Eye Chrysoberyl, Weight: 15.68 carats, accompanies the center stone. Gross weight 51.80 grams.
Size: 10 (sizeable)","SOLD ON DEC 3, 2018 FOR: $18,750.00"
258,"Condition Report*:
Diamonds:

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 310721
Carat: 3.42
Color: F
Clarity: SI2
Shape: Oval Brilliant

Colored Gems:
Type(s): Sapphire
Shape(s): Oval
Count: 1 - 25
Avg Quality: Good

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: Marked PLAT, with hallmark for Terrell Jewelry Company of New York. The diamond was originally certified with GIA on June 26, 1978.","Diamond, Sapphire, Platinum Ring
The ring features an oval-shaped diamond measuring 11.08 x 7.83 x 5.45 mm and weighing 3.42 carats, flanked by two oval-shaped sapphires, one measuring 8.50 x 6.10 x 4.85 mm and weighing approximately 2.00 carats, and one measuring 8.53 x 6.20 x 3.54 mm and weighing approximately 1.45 carats, set in platinum. A GIA report # 310721, dated September 20, 2018, stating F color, SI2 clarity, Laser Drill Hole, accompanies the center stone. Gross weight 7.20 grams.
Size: 6 (sizeable)

Property from the Estate of Colletta Ray McMillian, Houston, Texas","SOLD ON DEC 3, 2018 FOR: $18,750.00"
259,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): baguette, tapered baguette
Count: 1 - 25

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 5192625421
Carat: 3.03
Color: J
Clarity: SI1
Shape: Emerald-cut

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: Marked PLAT.","Diamond, Platinum Ring
The ring features an emerald-cut diamond measuring 9.22 x 7.69 x 4.81 mm and weighing 3.03 carats, enhanced by baguette and tapered baguette-cut diamonds weighing a total of approximately 0.80 carat, set in platinum. A GIA report # 5192625421, dated August 29, 2018, stating J color, SI1 clarity, accompanies the center diamond. Gross weight 9.00 grams.
Size: 5-3/4 (sizeable)","SOLD ON DEC 3, 2018 FOR: $18,750.00"
260,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Kite, Single-cut
Count: 26 - 50

Colored Gems:
Type(s): Emerald
Shape(s): Carved
Avg Quality: Fine

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: A divine design showcasing an exquisite emerald. Marked TIFFANY & CO. The emerald displays three-phase inclusions as well as pyrite inclusions. Per the PHOTOATLAS of Inclusions in Gemstones Volume 1 by E.J. Gübelin and J.I. Koivula, this combination is indicative of material produced by the Chivor mine in Colombia.","Art Deco Emerald, Diamond, Platinum Ring, Tiffany & Co.
The ring features a carved emerald measuring 14.68 x 11.57 x 8.87 mm, enhanced by kite-shape and single-cut diamonds weighing a total of approximately 0.35 carat, set in platinum, marked Tiffany & Co. Gross weight 6.40 grams.
Size: 5 (sizeable)

Property of a Private Collector","SOLD ON OCT 1, 2018 FOR: $18,750.00"
261,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Full-cut
Count: 51 - 75

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 5191549498
Carat: 4.03
Color: S-T
Clarity: SI2
Shape: Pear Modified Brilliant

Metals:
Gold

Overall Condition: Very Good
Condition Notes: Forever beautiful. Tests as 14k gold.","Diamond, Gold Ring
The ring features a pear-shaped diamond measuring 12.65 x 8.07 x 5.33 mm and weighing 4.03 carats, enhanced by full-cut near-colorless diamonds weighing a total of approximately 0.80 carat, set in 14k gold having a rhodium finish. A GIA report # 5191549498, dated July 31, 2018, stating S - T color, SI2 clarity, accompanies the pear-shaped diamond. Gross weight 7.70 grams.
Size: 7-3/4 (sizeable)","SOLD ON OCT 1, 2018 FOR: $18,750.00"
262,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): full-cut
Count: 1 - 25

Metals:
Gold

Overall Condition: Very Good
Condition Notes: Marked 18k. A few diamonds fall into the SI clarity range.","Gentleman's Diamond, Gold Ring
The ring features a radiant-cut diamond measuring 8.63 x 8.31 x 5.58 mm and weighing 3.05 carats, accented by full-cut diamonds weighing a total of approximately 1.00 carat, set in 18k gold. A GIA report # 1192268594, date April 9, 2018, stating J color, VS1 clarity, accompanies the center stone. Gross weight 29.20 grams.
Size: 11-1/4 (sizeable)

Property of an Oklahoma Gentleman","SOLD ON JUN 11, 2018 FOR: $18,750.00"
263,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Triangle-cut
Count: 1 - 25

Colored Gems:

Certified Gems:
Gem: 1
Lab: GIA
Certification #: 6187745393
Shape: Octagonal Step Cut
Origin: Colombia
Treatment: Clarity Enhanced (F1)
Type: Natural Beryl

Gem: 2
Lab: AGL
Certification #: 1090187
Shape: Square Emerald-cut
Origin: Colombia
Treatment: Minor, Mixed-Type Clarity Enhancement
Type: Natural Beryl

Metals:
Gold

Overall Condition: Very Good
Condition Notes: Gorgeous green! Triangle-shaped diamonds measure 5.60 x 6.30 mm and 5.70 x 6.40 mm. Marked 18K, and obscured 10% IRID PLAT mark. Hinged sizer could be removed from shank by a jeweler.","Colombian Emerald, Diamond, Platinum, Gold Ring
The ring features an emerald-cut emerald measuring 11.74 x 11.32 x 8.08 mm and weighing approximately 7.30 carats, accented by triangle-shaped diamonds weighing a total of approximately 0.70 carat, set in platinum and 18k gold. An AGL report # 1090187, dated February 9, 2018, stating Natural Beryl, Origin Colombia, Minor, Mixed-Type Clarity Enhancement; and a GIA report # 6187745393, dated September 28, 2017, stating Natural Beryl, Origin Colombia, Clarity Enhanced (F1) Treatment, accompany the emerald. Gross weight 6.90 grams.
Size: 9-1/2 (without sizer), 7-1/2 (with sizer, sizeable)","SOLD ON MAR 26, 2018 FOR: $18,750.00"
264,"Condition Report*:
Diamonds:
Avg Color: J-K-L
Avg Clarity: SI
Shape(s): Full-cut
Count: 51 - 75

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 1182699630
Carat: 2.02
Color: Very Light Pink
Clarity: SI1
Shape: Round Brilliant

Metals:
Gold

Overall Condition: Very Good
Condition Notes: A bold statement! Marked 14.","Very Light Pink Diamond, Diamond, Gold Ring
The ring features a round brilliant-cut diamond measuring 8.16 - 8.25 x 4.98 mm and weighing 2.02 carat, enhanced by full-cut diamonds weighing a total of approximately 2.10 carats, set in 14k gold. A GIA report # 1182699630, dated September 1, 2017, stating Natural, Very Light Pink color, SI1 clarity, accompanies the center diamond. Gross weight 15.40 grams.
Size: 9-3/4 (sizeable)","SOLD ON DEC 4, 2017 FOR: $18,750.00"
265,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Full-cut
Count: 1 - 25

Colored Gems:

Certified Gems:
Gem: 1
Lab: AGL
Certification #: 1087186
Shape: Round
Origin: Ceylon (Sri Lanka)
Treatment: None
Type: Natural Corundum

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: Metal tests as platinum. Unknown maker's mark. Nick on the girdle of the sapphire.","Ceylon Sapphire, Diamond, Platinum Ring
The ring features a round-cut sapphire measuring 12.05 - 11.75 x 8.52 mm and weighing 10.17 carats, accented by full-cut diamonds weighing a total of approximately 0.75 carat, set in platinum. An AGL report # 1087186, dated October 10, 2017, stating Natural Corundum, Origin Ceylon (Sri Lanka), No Gemological Evidence of Heat, Clarity Enhancement None, accompanies the sapphire. Gross weight 11.10 grams.
Size: 7-1/4 (sizeable)","SOLD ON DEC 4, 2017 FOR: $18,750.00"
266,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Baguette, Tapered-Baguette
Count: 1 - 25

Colored Gems:

Certified Gems:
Gem: 1
Lab: AGL
Certification #: 1084882
Shape: Cushion Cabochon
Origin: Burma
Treatment: No Gemological Evidence of Heat
Type: Natural Corundum

Overall Condition: Very Good
Condition Notes: Marked 070 053, SC, Pt900, OR750, 43905. Shank has three conjoined bands which might make sizing difficult, also marks within the shank would be disrupted.","Burma Ruby, Diamond, Platinum, Gold Ring
The ring features a cushion-shaped ruby cabochon measuring 19.61 x 11.60 x 7.25 mm and weighing approximately 17.20 carats, enhanced by baguette and tapered baguette-cut diamonds weighing a total of approximately 1.10 carats, set in platinum and 18k gold. An AGL report # 1084882, dated July 14, 2017, stating Natural Corundum, Origin Burma, No Gemological Evidence of Heat, accompanies the ruby. Gross weight 13.52 grams.
Size: 7-1/2 (not easily sized)","SOLD ON SEP 25, 2017 FOR: $18,750.00"
267,"Condition Report*:
Diamonds:
Colored Diamond Color: Brownish-Pink
Avg Clarity: SI
Shape(s): Pear
Count: 1 - 25

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 2185551390
Carat: 6.16
Color: Fancy Deep Brownish Yellow
Clarity: I1
Shape: Oval

Overall Condition: Very Good
Condition Notes: Colorful diamonds add a kick to this classic three stone ring. Marked 14k. Center diamond has surface-reaching inclusions.","Fancy Deep Brownish Yellow Diamond, Colored Diamond, White Gold Ring
The ring features an oval-shaped yellow diamond measuring 14.27 x 9.82 x 7.06 mm and weighing 6.16 carats, enhanced by pear-shaped brownish-pink diamonds weighing a total of approximately 0.30 carat, set in 14k white gold. A GIA report # 2185551390, dated July 11, 2017, stating Fancy Deep Brownish Yellow color, I1 clarity, accompanies the center stone. Gross weight 4.03 grams.
Size: 7-1/4 (sizeable)","SOLD ON SEP 25, 2017 FOR: $18,750.00"
268,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VVS
Shape(s): Round Brilliant-cut, Tapered Baguette-cut, Single-cut
Count: 26 - 50

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 1172698386
Carat: 1.92
Color: G
Clarity: VVS1
Shape: Round Brilliant

Metals:
Platinum

Overall Condition: Very Good
Condition Notes: A dazzling diamond ring set. Several diamonds in the eternity band fall into the SI clarity range, and one diamond is nicked. Scratches to metal commensurate with normal wear, easily polished.","Diamond, Platinum Ring Set
The set includes: one ring featuring a round brilliant-cut diamond measuring 7.77 - 8.07 x 4.89 mm and weighing 1.92 carats, flanked by tapered baguette-cut diamonds weighing a total of approximately 0.20 carat, set in platinum; together with an eternity band featuring single-cut diamonds weighing a total of approximately 0.65 carat, continuously set in platinum. A GIA Laboratory report # 1172698386, dated June 22, 2016, stating G color, VVS1 clarity, accompanies the center diamond. Gross weight 6.60 grams.
Ring Size: 7-1/4 (sizeable)
Eternity Band Size: 6-1/2 (not sizeable)","SOLD ON JUN 26, 2017 FOR: $18,750.00"
269,"Condition Report*:
Diamonds:
Avg Color: M+
Avg Clarity: SI
Shape(s): Round Brilliant-cut
Count: 1 - 25

Certified Diamonds:
Stone: 1
Lab: GIA
Certification #: 1182097860
Carat: 3.95
Color: N
Clarity: SI1
Shape: Round Brilliant-cut

Metals:
Gold

Overall Condition: Very Good
Condition Notes: A classic.","Diamond, White Gold Ring
The ring features a round brilliant-cut diamond measuring 10.31 - 10.61 x 5.95 mm and weighing 3.95 carats, set in 14k white gold. A GIA Laboratory report #1182097860, dated January 4, 2017, stating N color, SI1 clarity, accompanies the diamond. Gross weight 4.17 grams.
Size: 7-1/2 (sizeable)","SOLD ON APR 3, 2017 FOR: $18,750.00"
270,"Condition Report*:
Diamonds:
Avg Color: G-H-I
Avg Clarity: VS
Shape(s): Tapered Baguette-cut
Count: 1 - 25

Colored Gems:
Type(s): Sapphire
Shape(s): Cushion Modified Brilliant-cut, Round-cut
Count: 1 - 25
Avg Quality: Good

Certified Gems:
Gem: 1
Lab: AGL
Certification #: CS 1076530
Carat: 25.60
Shape: Cushion Modified Brilliant-cut
Origin: Ceylon (Sri Lanka)
Type: Corundum

Metals:
Gold

Overall Condition: Very Good
Condition Notes: An incredible sapphire that displays both yellow and blue. Also known as ""Bi-Color Sapphire"". AGL report states: ""Non-heated fancy sapphires are scarce"". Gold tests as 18k.","Ceylon Sapphire, Diamond, Gold Ring
The ring features a cushion modified brilliant-cut yellow and blue sapphire measuring 18.44 x 16.25 x 9.61 mm and weighing 25.60 carats, framed by round-cut blue and yellow sapphires weighing a total of approximately 0.80 carat, complemented by tapered baguette-cut diamonds weighing a total of approximately 0.70 carat, set in 18k gold having rhodium finished accents. An AGL Laboratory report # CS 1076530, dated July 6, 2016, stating Natural Corundum, Fancy Sapphire, Origin Ceylon (Sri Lanka), Heat Enhancement: None, accompanies the center sapphire. Gross weight 17.60 grams.
Size: 7 (sizeable)","SOLD ON DEC 5, 2016 FOR: $18,750.00"
271,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Average Clarity: VS
Diamond Shapes: Full-cut
Diamond Count: 100+
Gem Type: Tourmaline
Gem Certification No: 2151239910
Gem Lab: GIA
Gem Average Clarity: Fine
Gem Shape: Oval-shaped
Gem Count: 1 - 25
Overall Condition: Very Good
Notes: A fabulous ring. Exact stone weights known. This copper and manganese bearing tourmaline may be called ""paraiba tourmaline"" in the trade. The name ""paraiba"" comes from the Brazilian locality where this gem was first mined, however, today it may come from several localities. Marked 18k.","Paraiba Tourmaline, Diamond, White Gold Ring
The ring features an oval-shaped Paraiba tourmaline measuring 23.96 x 17.26 x 11.78 mm and weighing 31.68 carats, enhanced by full-cut diamonds weighing a total of 4.28 carats, set in 18k white gold. A GIA Laboratory report # 2151239910 dated February 4, 2013 stating Tourmaline, Origin Mozambique, Copper and Manganese Bearing, accompanies the center stone. Gross weight 21.44 grams.
Size: 7-3/4 (not easily sized)","SOLD ON APR 19, 2016 FOR: $18,750.00"
272,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Average Clarity: SI
Diamond Shapes: Half-moon
Diamond Count: 1 - 25
Gem Type: Ruby
Gem Certification No: 5172371096
Gem Lab: GIA
Gem Average Clarity: Good
Gem Shape: Sugarloaf Cabochon
Gem Count: 1 - 25
Overall Condition: Very Good
Notes: A fabulous ruby flanked by diamonds! Marked PT950 and 750. Ruby and diamond weights known. Ruby has surface-reaching inclusions.","Ruby, Diamond, Platinum, Gold Ring
The ring features a sugarloaf-shaped ruby measuring 14.55 x 14.11 x 8.08 mm and weighing 17.15 carats, flanked by half-moon-shaped diamonds weighing a total of 1.49 carats, set in platinum and 18k gold. A GIA Laboratory report # 5172371096, stating Natural Corundum, No Indications of Heating, Origin: Tajikistan, accompanies the ruby. Gross weight 10.50 grams.
Size: 6 (sizeable)","SOLD ON APR 19, 2016 FOR: $18,750.00"
273,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Average Clarity: SI
Diamond Shapes: Full-cut, Baguette-cut
Diamond Count: 100+
Gem Type: Emerald
Gem Certification No: CS 69745
Gem Lab: AGL
Gem Average Clarity: Good
Gem Shape: Oval-shaped
Gem Count: 1 - 25
Overall Condition: Good
Notes: An impressive emerald with a generous splash of diamonds! Marked 18K. The rhodium finish is uneven on the shoulders of the ring upon close examination. Emerald has minor surface-reaching inclusions.","Colombian Emerald, Diamond, Gold Ring
The ring features an oval-shaped emerald measuring 16.88 x 12.66 x 8.38 mm and weighing approximately 9.90 carats, enhanced by full-cut diamonds weighing a total of approximately 1.75 carats, accented by baguette-cut diamonds weighing a total of approximately 2.00 carats, set in 18k gold having rhodium finished accents. An AGL report # CS 69745, dated August 31, 2015, stating Natural Beryl, Origin Colombia, Minor Clarity Enhancement, accompanies the emerald. Gross weight 14.40 grams.
Size: 7-1/2 (sizeable)","SOLD ON APR 19, 2016 FOR: $18,750.00"
274,"Condition Report*:
Diamond Average Color: M+
Diamond Certification No: 5172219218
Diamond Lab: GIA
Diamond Average Clarity: SI
Diamond Shapes: European-cut, Baguette-cut, Full-cut
Diamond Count: 26 - 50
Overall Condition: Very Good
Notes: An absolutely stunning diamond ring. Marked 750 18K.","Diamond, Gold Ring
The ring features a European-cut diamond measuring 9.44 - 9.59 x 6.05 mm and weighing 3.52 carats, enhanced by baguette and full-cut diamonds weighing a total of approximately 2.10 carats, set in 18k gold. A GIA Laboratory report # 5172219218, dated June 29, 2015, stating M color, VS1 clarity, accompanies the center diamond. Gross weight 10.40 grams.
Size: 5 (sizeable)","SOLD ON APR 19, 2016 FOR: $18,750.00"
275,"Condition Report*:
Diamond Average Color: M+
Diamond Certification No: 5172219218
Diamond Lab: GIA
Diamond Average Clarity: SI
Diamond Shapes: European-cut, Baguette-cut, Full-cut
Diamond Count: 26 - 50
Overall Condition: Very Good
Notes: An absolutely stunning diamond ring. Marked 750 18K.","Diamond, Gold Ring
The ring centers a European-cut diamond measuring 9.44 - 9.59 x 6.05 mm and weighing 3.52 carats, enhanced by baguette and full-cut diamonds weighing a total of approximately 2.10 carats, set in 18k gold. A GIA Laboratory report # 5172219218, dated June 29, 2015, stating M color, VS1 clarity, accompanies the center diamond. Gross weight 10.40 grams.
Size: 5 (sizeable)","SOLD ON DEC 7, 2015 FOR: $18,750.00"
276,"Condition Report*:
Diamond Average Color: J-K-L
Diamond Certification No: 1176332558
Diamond Lab: GIA
Diamond Average Clarity: VS
Diamond Shapes: Pear-shaped, Tapered Baguette-cut
Diamond Count: 1 - 25
Overall Condition: Very Good
Notes: A warm yet vibrant pear-shaped diamond. Marked 10% IRID PLAT.","Diamond, Platinum Ring
The ring features a pear-shaped diamond measuring 13.32 x 9.09 x 5.08 mm and weighing 3.53 carats, enhanced by tapered baguette-cut diamonds weighing a total of approximately 0.30 carat, set in platinum. A GIA Laboratory report # 1176332558, dated September 28, 2015, stating L, Faint Brown color, VS1 clarity, accompanies the center diamond. Gross weight 5.86 grams.
Size: 6-1/4 (sizeable)","SOLD ON DEC 7, 2015 FOR: $18,750.00"
277,"Condition Report*:
Diamond Average Color: J-K-L
Diamond Average Clarity: SI
Diamond Shapes: Half-moon-shaped
Diamond Count: 1 - 25
Gem Type: Sapphire
Gem Certification No: CS 57807
Gem Lab: AGL
Gem Average Clarity: Fine
Gem Shape: Oval
Gem Count: 1 - 25
Overall Condition: Very Good
Notes: Marked PLAT.","Sapphire, Diamond, Platinum Ring
The ring features an oval-shaped sapphire measuring 12.42 x 9.73 x 5.33 mm and weighing 5.69 carats, enhanced by half-moon-shaped diamonds weighing a total of approximately 0.95 carat, set in platinum. An AGL report # CS 57807, dated November 13, 2013, stating Natural Corundum, No Gemological Evidence of Heat, Clarity Enhancement: None, accompanies the sapphire. Gross weight 8.92 grams.
Size: 6-1/2 (sizeable)","SOLD ON DEC 7, 2015 FOR: $18,750.00"
278,"Condition Report*:
Diamond Average Color: G-H-I
Diamond Average Clarity: VS
Diamond Shapes: European-cut
Diamond Count: 1 - 25
Gem Type: Emerald
Gem Certification No: CS 65910
Gem Lab: AGL
Gem Average Clarity: Fine
Gem Shape: Square-shaped
Gem Count: 1 - 25
Overall Condition: Very Good
Notes: Exquisite color in the emerald. Small surface-reaching inclusions.","Colombian Emerald, Diamond, Platinum, Gold Ring
The ring centers a square-shaped emerald measuring 12.18 x 12.06 x 8.27 mm and weighing 8.24 carats, enhanced by European-cut diamonds, set in platinum and 18k gold. An AGL report # CS 65910, dated February 13, 2015, stating Natural Beryl, Origin Colombia, Minor to Moderate Modern Clarity Enhancement, accompanies the center stone. Gross weight 7.90 grams.
Size: 7-1/4 (sizeable)","SOLD ON MAY 4, 2015 FOR: $18,750.00"
279,"Condition Report*:
Designer: Piranesi
Diamond Average Color: G-H-I
Diamond Average Clarity: SI
Diamond Shapes: Full-cut
Diamond Count: 1 - 25
Gem Type: Ruby
Gem Certification No: CDC 1405446
Gem Lab: C. Dunaigre Consulting GmbH
Gem Average Clarity: Fine
Gem Shape: Oval-shaped
Gem Count: 1 - 25
Overall Condition: Very Good
Notes: Marked ""PLAT"" and ""PIRANESI"" inside shank. Stone weights provided. A C. Dunaigre Consulting GmbH Gemstone Report # CDC 1405446, dated May 27, 2014, stating Ruby (Natural Corundum), Burma (Myanmar), with Indications of Heating, accompanies the ruby.","Ruby, Diamond, Platinum Ring, Piranesi
The ring centers an oval-shaped ruby measuring 12.17 x 9.30 x 4.54 mm and weighing 4.68 carats, enhanced by full-cut diamonds weighing a total of 2.42 carats, set in platinum, marked Piranesi. Gross weight 7.60 grams.
Size: 6 (sizeable)","SOLD ON MAY 4, 2015 FOR: $18,750.00"
